Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms Info
Ziggurat (2012),2/17/2012,Action Button Entertainment,Freshuu Inc.,Action,,6.9,14,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 18 Critic Reviews'}]"
4X4 EVO 2,11/15/2001,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,,,"[{'Platform': 'Xbox', 'Platform Metascore': '59', 'Platform Metascore Count': 'Based on 15 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}, {'Platform': 'GameCube', 'Platform Metascore': '56', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
MotoGP 2 (2001),1/22/2002,Namco,Namco,Auto Racing Sim,Rated E For Everyone,5.8,,"[{'Platform': 'PlayStation 2', 'Platform Metascore': '78', 'Platform Metascore Count': 'Based on 18 Critic Reviews'}]"
Gothic 3,11/14/2006,Piranha Bytes,Aspyr,Western RPG,Rated T For Teen,7.5,832,"[{'Platform': 'PC', 'Platform Metascore': '63', 'Platform Metascore Count': 'Based on 39 Critic Reviews'}]"
Siege Survival: Gloria Victis,5/18/2021,FishTankStudio,Black Eye Games,RPG,,6.5,10,"[{'Platform': 'PC', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}]"
Guitar Hero III: Legends of Rock,10/28/2007,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,144,"[{'Platform': 'Wii', 'Platform Metascore': '86', 'Platform Metascore Count': 'Based on 36 Critic Reviews'}, {'Platform': 'PlayStation 2', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 24 Critic Reviews'}, {'Platform': 'PlayStation 3', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 45 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '85', 'Platform Metascore Count': 'Based on 69 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 15 Critic Reviews'}]"
Frantix: A Puzzle Adventure,9/19/2005,Killer Game,Sony Online Entertainment,Action Puzzle,Rated E For Everyone,,,"[{'Platform': 'PSP', 'Platform Metascore': '59', 'Platform Metascore Count': 'Based on 29 Critic Reviews'}]"
Xenoraid,11/8/2016,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,6,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '65', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}, {'Platform': 'PlayStation Vita', 'Platform Metascore': '64', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '68', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}, {'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '61', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}]"
The Sims: Livin' Large,8/27/2000,Maxis,EA Games,Virtual Life,Rated T For Teen,7.7,20,"[{'Platform': 'PC', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 23 Critic Reviews'}]"
Retrovirus,11/16/2012,Cadenza,Cadenza,FPS,,6.6,20,"[{'Platform': 'PC', 'Platform Metascore': '70', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}]"
Til Morning's Light,5/20/2015,WayForward,Amazon Game Studios,Action,,6.4,7,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
The Political Machine 2012,7/31/2012,Stardock,Stardock,Turn-Based Strategy,,6.5,30,"[{'Platform': 'PC', 'Platform Metascore': '54', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
"Warhammer 40,000: Space Marine",9/6/2011,Relic Entertainment,THQ,Third Person Shooter,Rated M For Mature,7.8,259,"[{'Platform': 'PC', 'Platform Metascore': '74', 'Platform Metascore Count': 'Based on 34 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 57 Critic Reviews'}, {'Platform': 'PlayStation 3', 'Platform Metascore': '70', 'Platform Metascore Count': 'Based on 46 Critic Reviews'}]"
Star Wars Episode III: Revenge of the Sith,5/4/2005,Double Helix Games,LucasArts,Action Adventure,Rated T For Teen,7.7,27,"[{'Platform': 'PlayStation 2', 'Platform Metascore': '60', 'Platform Metascore Count': 'Based on 34 Critic Reviews'}, {'Platform': 'Xbox', 'Platform Metascore': '61', 'Platform Metascore Count': 'Based on 44 Critic Reviews'}, {'Platform': 'DS', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 22 Critic Reviews'}, {'Platform': 'Game Boy Advance', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 13 Critic Reviews'}]"
Saints Row IV,8/19/2013,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,7.4,1997,"[{'Platform': 'PC', 'Platform Metascore': '86', 'Platform Metascore Count': 'Based on 45 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '81', 'Platform Metascore Count': 'Based on 42 Critic Reviews'}, {'Platform': 'PlayStation 3', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 26 Critic Reviews'}]"
The Hobbit: The Prelude to the Lord of the Rings,11/11/2003,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Rated E For Everyone,8.4,18,"[{'Platform': 'GameCube', 'Platform Metascore': '61', 'Platform Metascore Count': 'Based on 17 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '62', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}, {'Platform': 'PlayStation 2', 'Platform Metascore': '59', 'Platform Metascore Count': 'Based on 17 Critic Reviews'}, {'Platform': 'Game Boy Advance', 'Platform Metascore': '67', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}]"
Lost Orbit,5/12/2015,PixelNAUTS,PixelNAUTS,2D Platformer,Rated T For Teen,7.1,23,"[{'Platform': 'PC', 'Platform Metascore': '72', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 19 Critic Reviews'}]"
SwapQuest,2/23/2016,Constantin Graf,Constantin Graf,JRPG,Rated E +10 For Everyone +10,7,6,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '85', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}, {'Platform': 'PlayStation Vita', 'Platform Metascore': '64', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '64', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}]"
Command & Conquer: Red Alert 2 - Yuri's Revenge,10/10/2001,Westwood Studios,Electronic Arts,Command RTS,Rated T For Teen,8.7,269,"[{'Platform': 'PC', 'Platform Metascore': '86', 'Platform Metascore Count': 'Based on 23 Critic Reviews'}]"
Lumines,3/22/2005,Q Entertainment,Ubisoft,Matching Puzzle,Rated E +10 For Everyone +10,7.5,47,"[{'Platform': 'PSP', 'Platform Metascore': '89', 'Platform Metascore Count': 'Based on 55 Critic Reviews'}]"
Armored Core 3,9/5/2002,From Software,Agetec,Vehicle Combat Sim,Rated T For Teen,8.1,21,"[{'Platform': 'PlayStation 2', 'Platform Metascore': '74', 'Platform Metascore Count': 'Based on 23 Critic Reviews'}, {'Platform': 'PSP', 'Platform Metascore': '43', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}]"
Amped 2,10/28/2003,Indie Built,Microsoft Game Studios,Skiing,Rated E For Everyone,8.4,9,"[{'Platform': 'Xbox', 'Platform Metascore': '80', 'Platform Metascore Count': 'Based on 34 Critic Reviews'}]"
Sword of the Stars II: Lords of Winter,10/28/2011,Kerberos Productions,Paradox Interactive,Strategy,Rated T For Teen,4.7,134,"[{'Platform': 'PC', 'Platform Metascore': '44', 'Platform Metascore Count': 'Based on 14 Critic Reviews'}]"
Buzz! Junior: Dino Den,2/22/2008,Cohort Studios,SCEE,Trivia,,,,"[{'Platform': 'PlayStation 2', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
Neon White,6/16/2022,Angel Matrix,Annapurna Interactive,FPS,Rated T For Teen,8.4,190,"[{'Platform': 'Nintendo Switch', 'Platform Metascore': '88', 'Platform Metascore Count': 'Based on 23 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '89', 'Platform Metascore Count': 'Based on 44 Critic Reviews'}, {'Platform': 'PlayStation 5', 'Platform Metascore': '88', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}]"
BlazBlue: Continuum Shift Extend,2/14/2012,Arc System Works,Aksys Games,2D Fighting,Rated T For Teen,7.5,102,"[{'Platform': 'PlayStation Vita', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 28 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}, {'Platform': 'PlayStation 3', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}]"
Cosmic Star Heroine,8/14/2018,Zeboyd Games,Limited Run Games,JRPG,Rated T For Teen,7.4,33,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}, {'Platform': 'PlayStation Vita', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '78', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}]"
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,3/21/2023,Skybound Games,Skybound Games,Survival,Rated M For Mature,7.2,11,"[{'Platform': 'PlayStation 5', 'Platform Metascore': '72', 'Platform Metascore Count': 'Based on 23 Critic Reviews'}, {'Platform': 'Meta Quest', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}]"
MXGP: The Official Motocross Videogame,11/18/2014,Milestone S.r.l,Bandai Namco Games,Arcade Racing,Rated E For Everyone,6.4,14,"[{'Platform': 'PlayStation 3', 'Platform Metascore': '67', 'Platform Metascore Count': 'Based on 14 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '68', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '66', 'Platform Metascore Count': 'Based on 14 Critic Reviews'}]"
Mortal Kombat XL,3/1/2016,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Rated M For Mature,7.7,672,"[{'Platform': 'Xbox One', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '85', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '84', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}]"
Resident Evil 5: Desperate Escape,3/3/2010,Capcom,Capcom,Survival,Rated M For Mature,7.6,27,"[{'Platform': 'PlayStation 3', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 15 Critic Reviews'}]"
Silent Hunter 5: Battle of the Atlantic,3/2/2010,Ubisoft Romania,Ubisoft,Marine Combat Sim,Rated T For Teen,5.6,46,"[{'Platform': 'PC', 'Platform Metascore': '62', 'Platform Metascore Count': 'Based on 26 Critic Reviews'}]"
Saban's Power Rangers Megaforce,11/5/2013,Digital Works Entertainment,Namco Bandai Games,2D Beat-'Em-Up,Rated E +10 For Everyone +10,4.5,12,"[{'Platform': '3DS', 'Platform Metascore': '30', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
Block Fortress,3/7/2013,,,Action,,,,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}]"
