Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Ventas_Clase,Nota PEGI,User Score,User Ratings Count,Estado_Consola,Price,Price_Platform,Year_Consola,Play Time,Modo Juego,Años_desde_lanzamiento_consola,Precio_relativo,PEGI_categoria,Duracion_juego_cat,Nombre_Base,Es_Saga,Tipo_Saga,Situacion_Economica
Wii Sports,Nintendo Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,Muy Alta,3,7.9,474,Consola Obsoleta,49.99,249.0,2006,1.0,Multijugador,0,0.20076305220883536,Infantil,Corto,wii sports,0,No saga,Crecimiento
Super Mario Bros.,Nintendo Entertainment System,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,Muy Alta,3,8.3,138,Consola Obsoleta,49.99,199.0,1983,3.0,Individual,2,0.25120603015075377,Infantil,Corto,super mario bros,1,Saga,Crecimiento
Mario Kart Wii,Nintendo Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,Muy Alta,3,8.6,1073,Consola Obsoleta,49.99,249.0,2006,6.0,Multijugador,2,0.20076305220883536,Infantil,Medio,mario kart wii,0,No saga,Recesion
Wii Sports Resort,Nintendo Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,Muy Alta,3,8.4,334,Consola Obsoleta,49.99,249.0,2006,1.0,Multijugador,3,0.20076305220883536,Infantil,Corto,wii sports resort,0,No saga,Recesion
Pokemon Red/Pokemon Blue,Game Boy,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,Muy Alta,3,7.098562160023079,27,Consola Obsoleta,39.99,113.5,1989,20.0,Individual,7,0.35233480176211457,Infantil,Medio,pokemon redpokemon blue,0,No saga,Crecimiento
Tetris,Game Boy,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,Muy Alta,3,8.4,9,Consola Obsoleta,39.99,113.5,1989,8.777049180327868,Individual,0,0.35233480176211457,Infantil,Medio,tetris,1,Saga,Crecimiento
New Super Mario Bros.,Nintendo DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,Muy Alta,3,8.6,852,Consola Obsoleta,39.99,149.0,2004,6.0,Individual,2,0.26838926174496647,Infantil,Medio,new super mario bros,1,Saga,Crecimiento
Wii Play,Nintendo Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,Muy Alta,3,6.6,130,Consola Obsoleta,49.99,249.0,2006,2.0,Multijugador,0,0.20076305220883536,Infantil,Corto,wii play,0,No saga,Crecimiento
New Super Mario Bros. Wii,Nintendo Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,Muy Alta,3,8.3,924,Consola Obsoleta,49.99,249.0,2006,10.0,Individual,3,0.20076305220883536,Infantil,Medio,new super mario bros wii,0,No saga,Recesion
Duck Hunt,Nintendo Entertainment System,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,Muy Alta,3,6.55,10,Consola Obsoleta,49.99,199.0,1983,1.0,Multijugador,1,0.25120603015075377,Infantil,Corto,duck hunt,0,No saga,Crecimiento
Nintendogs,Nintendo DS,2005,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,Muy Alta,3,7.0346153846153845,14,Consola Obsoleta,39.99,149.0,2004,5.0,Individual,1,0.26838926174496647,Infantil,Corto,nintendogs,0,No saga,Crecimiento
Mario Kart DS,Nintendo DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,Muy Alta,3,8.7,776,Consola Obsoleta,39.99,149.0,2004,5.0,Multijugador,1,0.26838926174496647,Infantil,Corto,mario kart ds,0,No saga,Crecimiento
Pokemon Gold/Pokemon Silver,Game Boy,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,Muy Alta,3,7.098562160023079,27,Consola Obsoleta,39.99,113.5,1989,20.0,Individual,10,0.35233480176211457,Infantil,Medio,pokemon goldpokemon silver,0,No saga,Crecimiento
Wii Fit,Nintendo Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,Muy Alta,3,7.6,62,Consola Obsoleta,49.99,249.0,2006,1.0,Multijugador,1,0.20076305220883536,Infantil,Corto,wii fit,0,No saga,Crecimiento
Wii Fit Plus,Nintendo Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,Muy Alta,3,7.6,72,Consola Obsoleta,49.99,249.0,2006,1.0,Multijugador,3,0.20076305220883536,Infantil,Corto,wii fit plus,0,No saga,Recesion
Kinect Adventures!,Xbox 360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,Muy Alta,3,6.3,134,Consola Obsoleta,59.99,299.0,2005,2.6051502145922747,Multijugador,5,0.20063545150501672,Infantil,Corto,kinect adventures,0,No saga,Crecimiento
Grand Theft Auto V,PlayStation 3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,Muy Alta,18,8.4,9576,Consola Obsoleta,59.99,599.0,2006,12.0,Multijugador,7,0.10015025041736228,Adulto,Medio,grand theft auto,1,Saga,Crecimiento
Grand Theft Auto: San Andreas,PlayStation 2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,Muy Alta,18,9.2,3467,Consola Obsoleta,49.99,399.0,2000,15.0,Multijugador,4,0.12528822055137845,Adulto,Medio,grand theft auto san andreas,1,Saga,Crecimiento
Super Mario World,Super Nintendo Entertainment System,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,Muy Alta,3,7.716666666666666,56,Consola Obsoleta,59.99,299.0,1990,6.502242152466367,Individual,0,0.20063545150501672,Infantil,Medio,super mario world,1,Saga,Crecimiento
Brain Age: Train Your Brain in Minutes a Day,Nintendo DS,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,Muy Alta,3,6.324137931034483,15,Consola Obsoleta,39.99,149.0,2004,3.0,Multijugador,1,0.26838926174496647,Infantil,Corto,brain age train your brain in minutes a day,0,No saga,Crecimiento
Pokemon Diamond/Pokemon Pearl,Nintendo DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,Muy Alta,12,7.362068965517241,24,Consola Obsoleta,39.99,149.0,2004,25.0,Individual,2,0.26838926174496647,Adolescente,Largo,pokemon diamondpokemon pearl,0,No saga,Crecimiento
Super Mario Land,Game Boy,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,Muy Alta,3,8.033333333333333,88,Consola Obsoleta,39.99,113.5,1989,1.5,Individual,0,0.35233480176211457,Infantil,Corto,super mario land,0,No saga,Crecimiento
Super Mario Bros. 3,Nintendo Entertainment System,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,Muy Alta,3,7.833333333333333,42,Consola Obsoleta,49.99,199.0,1983,3.0,Individual,5,0.25120603015075377,Infantil,Corto,super mario bros,1,Saga,Crecimiento
Grand Theft Auto V,Xbox 360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,Muy Alta,18,8.4,9576,Consola Obsoleta,59.99,299.0,2005,11.369853454291695,Multijugador,8,0.20063545150501672,Adulto,Medio,grand theft auto,1,Saga,Crecimiento
Grand Theft Auto: Vice City,PlayStation 2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,Muy Alta,18,8.8,1651,Consola Obsoleta,49.99,399.0,2000,15.0,Multijugador,2,0.12528822055137845,Adulto,Medio,grand theft auto vice city,1,Saga,Crecimiento
Pokemon Ruby/Pokemon Sapphire,Game Boy Advance,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,Muy Alta,3,7.9750000000000005,23,Consola Obsoleta,39.99,120.0,2001,32.212765957446805,Individual,1,0.33325,Infantil,Largo,pokemon rubypokemon sapphire,0,No saga,Crecimiento
Pokemon Black/Pokemon White,Nintendo DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,Muy Alta,12,7.362068965517241,24,Consola Obsoleta,39.99,149.0,2004,25.0,Individual,6,0.26838926174496647,Adolescente,Largo,pokemon blackpokemon white,0,No saga,Crecimiento
Brain Age 2: More Training in Minutes a Day,Nintendo DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,Muy Alta,3,7.2,16,Consola Obsoleta,39.99,149.0,2004,10.0,Individual,1,0.26838926174496647,Infantil,Medio,brain age more training in minutes a day,0,No saga,Crecimiento
Gran Turismo 3: A-Spec,PlayStation 2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,Muy Alta,3,8.4,378,Consola Obsoleta,49.99,399.0,2000,5.527093596059113,Multijugador,1,0.12528822055137845,Infantil,Medio,gran turismo a spec,0,No saga,Recesion
Call of Duty: Modern Warfare 3,Xbox 360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,Muy Alta,18,3.6,8929,Consola Obsoleta,59.99,299.0,2005,6.828877005347594,Multijugador,6,0.20063545150501672,Adulto,Medio,call of duty modern warfare,1,Saga,Crecimiento
Pokémon Yellow: Special Pikachu Edition,Game Boy,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,Muy Alta,3,7.098562160023079,27,Consola Obsoleta,39.99,113.5,1989,20.0,Individual,9,0.35233480176211457,Infantil,Medio,pokmon yellow special pikachu,0,No saga,Crecimiento
Call of Duty: Black Ops,Xbox 360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,Muy Alta,18,6.8,1910,Consola Obsoleta,59.99,299.0,2005,6.828877005347594,Multijugador,5,0.20063545150501672,Adulto,Medio,call of duty black ops,1,Saga,Crecimiento
Pokemon X/Pokemon Y,Nintendo 3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,Muy Alta,16,7.405882352941176,202,Consola Secundaria,39.99,250.0,2011,32.212765957446805,Individual,2,0.15996000000000002,Adulto,Largo,pokemon pokemon y,0,No saga,Crecimiento
